블루오션점수,category,품명,진입유형,중기경쟁비율,마진배수,정부단가중앙값,동급시중가중앙값,경쟁업체수_하한,품목수,동급매칭수,수요금액
34.3,MAS,파형강관,중기경쟁 제한,100,1.15,238035,206150,14,2442,12,16664485141
34.2,MAS,조경석,중기경쟁 제한,100,1.19,37330,31420,28,297,21,16673957711
34.1,MAS,수량계,중기경쟁 제한,93,1.07,122000,114525,39,980,14,6384899613
34.0,MAS,다운라이트설비,중기경쟁 제한,100,1.36,40000,29400,27,113,9,2156478776
33.4,의자,라운지용의자,중기경쟁 제한,98,1.37,480000,349600,76,2449,30,743665900
33.3,MAS,수강용탁자,중기경쟁 제한,99,1.3,317000,243550,73,2118,6,1939294600
33.1,제3자단가,소화용기구,중기경쟁 제한,100,0.59,26500,45145,1,7,18,1646179950
32.9,MAS,청소도구함,중기경쟁 제한,100,1.56,280000,179800,83,367,21,110669400
32.8,MAS,커튼,중기경쟁 제한,96,1.32,31000,23400,25,102,38,233053690
32.7,MAS,도로표지병,중기경쟁 제한,99,1.13,108900,96650,128,798,5,6857579570
32.6,캐비닛,캐비닛,중기경쟁 제한,99,1.2,288950,240000,114,8404,5,2978435650
32.5,MAS,남성용외투,중기경쟁 제한,99,1.07,117000,109780,24,88,14,6240561922
32.4,MAS,폴리에틸렌관,중기경쟁 제한,100,1.09,45960,42055,59,3934,8,9674502140
32.4,MAS,일체형컴퓨터,중기경쟁 제한,99,1.08,1550000,1429000,5,71,18,684263835
32.3,책상,학생용책상,중기경쟁 제한,99,1.14,76000,66900,12,545,37,1282999100
32.1,MAS,상업용그리들,중기경쟁 제한,100,1.28,5400000,4226940,9,56,5,227890000
32.0,MAS,정복,중기경쟁 제한,94,1.11,83000,74800,16,135,27,337197060
31.8,MAS,폴리에틸렌제관이음,중기경쟁 제한,100,1.15,72750,63005,34,1263,24,2173037052
31.8,MAS,LED실내조명등,중기경쟁 제한,100,1.03,78000,75520,29,558,33,6889811590
31.7,MAS,경관조명,중기경쟁 제한,99,0.96,440000,459000,477,38668,9,15968971430
31.3,MAS,식탁,중기경쟁 제한,99,1.21,385000,319000,59,1740,19,572425000
31.0,사물함,로커,중기경쟁 제한,99,1.03,320000,310900,125,16119,26,3186058350
31.0,MAS,응접탁자,중기경쟁 제한,99,1.27,301150,238030,49,1052,19,192031900
30.9,MAS,야외운동기구,중기경쟁 제한,97,0.92,3169490,3458540,37,1923,26,3724995070
30.7,MAS,프린터또는복사기용지,중기경쟁 제한,84,0.63,25000,39980,24,111,37,812442300
30.6,MAS,고추장및고추장만들기키트,중기경쟁 제한,96,1.03,17525,17000,8,26,40,155808090
30.5,MAS,주방기구소독기,중기경쟁 제한,99,0.94,3000000,3202600,10,470,7,1308522900
29.9,MAS,냉동빵,중기경쟁 제한,81,0.44,5780,13200,18,69,37,826960545
29.7,MAS,칸막이형열람대,중기경쟁 제한,96,1.09,481000,440000,62,825,40,138395220
29.5,MAS,파형강관이음관,중기경쟁 제한,100,1.01,130850,129700,13,1139,21,404850527
29.2,MAS,영사용스크린,중기경쟁 제한,89,0.63,1040000,1654600,16,297,12,598871000
29.1,MAS,실험대,중기경쟁 제한,97,0.85,780000,919600,72,2537,21,1396625900
29.1,MAS,총각김치,중기경쟁 제한,100,1.11,20000,18000,36,87,39,184591325
29.1,MAS,기동복,중기경쟁 제한,100,0.89,45000,50430,17,189,40,1152501667
29.0,소파,소파,중기경쟁 제한,99,0.89,572000,640000,46,4094,31,1380454000
28.9,MAS,장롱,중기경쟁 제한,98,1.05,418500,400000,45,268,29,152656900
28.8,MAS,덱(Deck),중기경쟁 제한,91,0.55,91000,166000,104,429,35,3812842683
28.8,MAS,깍두기,중기경쟁 제한,100,0.98,15380,15705,36,119,26,550042450
28.8,MAS,요,중기경쟁 제한,100,0.75,33350,44370,2,10,40,45866000
28.7,MAS,이불커버,중기경쟁 제한,100,0.59,23500,40150,1,8,34,14790000
28.6,매트,매트리스,중기경쟁 제한,94,0.57,178000,315000,12,615,33,2172577320
28.5,MAS,간판대또는스탠드,중기경쟁 제한,100,0.99,140700,141860,38,706,24,357898420
28.4,MAS,버스승강장,중기경쟁 제한,100,0.76,12000000,15845000,70,1511,6,4612357000
28.0,MAS,도로안전표지판지주,중기경쟁 제한,100,0.81,1020000,1265000,35,1531,7,1359788580
27.9,MAS,경질폴리염화비닐이음관,중기경쟁 제한,100,0.54,13075,24140,5,78,33,2501203411
27.9,MAS,칠판보조장,중기경쟁 제한,96,0.66,3030000,4620000,69,1025,40,2069155900
27.7,MAS,컨테이너하우스,중기경쟁 제한,98,0.64,26635000,41450000,67,2662,16,4184321000
27.5,MAS,실습대,중기경쟁 제한,99,0.95,616000,646960,48,857,25,136449200
27.4,MAS,마킹페인트,중기경쟁 제한,100,0.52,39720,76610,9,69,37,5097191621
26.9,MAS,된장,중기경쟁 제한,94,0.67,15005,22470,8,18,30,71192670
26.7,MAS,열무김치,중기경쟁 제한,100,0.93,19375,20800,33,90,31,92479225
26.7,MAS,배추김치,중기경쟁 제한,99,0.61,17500,28500,37,295,19,2238079550
26.5,MAS,교실용걸상,중기경쟁 제한,99,0.58,47000,81040,10,144,40,796335400
26.5,MAS,합성수지제문,중기경쟁 제한,100,0.81,57000,70560,5,56,33,28588286
26.2,MAS,배낭,중기경쟁 제한,100,0.51,29000,57000,13,85,18,2407356200
25.8,MAS,교량난간,중기경쟁 제한,100,0.48,290340,610000,119,1492,5,6198843179
25.1,MAS,실험실용싱크대,중기경쟁 제한,98,0.57,675000,1174260,59,609,39,508474500
24.5,MAS,전동기제어반,중기경쟁 제한,100,0.34,14412000,42253000,187,2327,5,6875092980
23.2,MAS,합성수지제문틀,중기경쟁 제한,100,0.6,43000,71220,5,115,8,7753905
21.0,MAS,책상용콤비의자,중기경쟁 제한,100,0.48,215500,446200,7,40,36,5355000
20.9,MAS,여성용외투,중기경쟁 제한,100,0.61,84000,138710,4,19,5,328000
8.8,MAS,의류대,중기경쟁 제한,100,0.73,27450,37795,9,9,40,0
8.4,MAS,팬티,중기경쟁 제한,100,0.73,4500,6200,13,17,39,0
8.1,MAS,양말,중기경쟁 제한,100,0.43,3150,7300,3,5,33,0
